city,lat,lng,country,iso2,admin_name,capital,population,population_proper,source
Perth,-41.5731,147.1714,Australia,AU,Tasmania,,2965,2965,https://simplemaps.com/data/au-cities
Barmera,-34.25,140.4667,Australia,AU,South Australia,,2954,2884,https://simplemaps.com/data/au-cities
Kapunda,-34.3389,138.9167,Australia,AU,South Australia,,2947,2947,https://simplemaps.com/data/au-cities
Thursday Island,-10.585,142.2205,Australia,AU,Queensland,,2940,2805,https://simplemaps.com/data/au-cities
Terranora,-28.2456,153.5025,Australia,AU,New South Wales,,2926,2926,https://simplemaps.com/data/au-cities
Woori Yallock,-37.778,145.528,Australia,AU,Victoria,,2913,2913,https://simplemaps.com/data/au-cities
Saint Georges Basin,-35.13,150.6269,Australia,AU,New South Wales,,2913,2913,https://simplemaps.com/data/au-cities
Tea Gardens,-32.6272,152.17,Australia,AU,New South Wales,,2884,2884,https://simplemaps.com/data/au-cities
Culburra,-34.9347,150.7539,Australia,AU,New South Wales,,2874,2874,https://simplemaps.com/data/au-cities
Yarra Glen,-37.6489,145.3719,Australia,AU,Victoria,,2869,2869,https://simplemaps.com/data/au-cities
Beaconsfield Upper,-37.996,145.415,Australia,AU,Victoria,,2861,2861,https://simplemaps.com/data/au-cities
Deloraine,-41.5333,146.6667,Australia,AU,Tasmania,,2848,2848,https://simplemaps.com/data/au-cities
Greta,-32.6872,151.3844,Australia,AU,New South Wales,,2830,2830,https://simplemaps.com/data/au-cities
North Wonthaggi,-38.6,145.6,Australia,AU,Victoria,,2806,2806,https://simplemaps.com/data/au-cities
Howlong,-35.9667,146.6333,Australia,AU,New South Wales,,2777,2777,https://simplemaps.com/data/au-cities
Williamstown,-34.6721,138.8884,Australia,AU,South Australia,,2755,2755,https://simplemaps.com/data/au-cities
Waikerie,-34.1667,139.9833,Australia,AU,South Australia,,2684,2681,https://simplemaps.com/data/au-cities
Hill Top,-34.3525,150.4917,Australia,AU,New South Wales,,2674,2674,https://simplemaps.com/data/au-cities
Hahndorf,-35.0303,138.8076,Australia,AU,South Australia,,2670,2670,https://simplemaps.com/data/au-cities
Jindabyne,-36.415,148.6178,Australia,AU,New South Wales,,2629,2629,https://simplemaps.com/data/au-cities
Lawson,-33.7178,150.4322,Australia,AU,New South Wales,,2614,2614,https://simplemaps.com/data/au-cities
Woodside,-34.9531,138.8742,Australia,AU,South Australia,,2608,2608,https://simplemaps.com/data/au-cities
Narooma,-36.215,150.1344,Australia,AU,New South Wales,,2605,2605,https://simplemaps.com/data/au-cities
Grenfell,-33.9097,148.195,Australia,AU,New South Wales,,2573,2573,https://simplemaps.com/data/au-cities
Manilla,-30.7483,150.7178,Australia,AU,New South Wales,,2550,2386,https://simplemaps.com/data/au-cities
Daylesford,-37.35,144.15,Australia,AU,Victoria,,2548,2548,https://simplemaps.com/data/au-cities
Lobethal,-34.9,138.8667,Australia,AU,South Australia,,2527,2527,https://simplemaps.com/data/au-cities
The Oaks,-34.0817,150.5678,Australia,AU,New South Wales,,2525,2525,https://simplemaps.com/data/au-cities
Aberdare,-32.8428,151.3803,Australia,AU,New South Wales,,2473,2473,https://simplemaps.com/data/au-cities
Dodges Ferry,-42.8539,147.6194,Australia,AU,Tasmania,,2467,2467,https://simplemaps.com/data/au-cities
Launching Place,-37.7806,145.5683,Australia,AU,Victoria,,2394,2394,https://simplemaps.com/data/au-cities
Rutherglen,-36.0556,146.4625,Australia,AU,Victoria,,2378,2378,https://simplemaps.com/data/au-cities
Goolwa,-35.5,138.7667,Australia,AU,South Australia,,2350,2350,https://simplemaps.com/data/au-cities
Willunga,-35.274,138.5535,Australia,AU,South Australia,,2308,2308,https://simplemaps.com/data/au-cities
Sandy Beach,-30.1483,153.2011,Australia,AU,New South Wales,,2287,2287,https://simplemaps.com/data/au-cities
Hadspen,-41.5,147.067,Australia,AU,Tasmania,,2275,2275,https://simplemaps.com/data/au-cities
Canowindra,-33.5667,148.6667,Australia,AU,New South Wales,,2258,2258,https://simplemaps.com/data/au-cities
Freeling,-34.45,138.8,Australia,AU,South Australia,,2214,2214,https://simplemaps.com/data/au-cities
Saint Arnaud,-36.6,143.25,Australia,AU,Victoria,,2193,2193,https://simplemaps.com/data/au-cities
Baxter,-38.2,145.15,Australia,AU,Victoria,,2162,2162,https://simplemaps.com/data/au-cities
Walgett,-30.0167,148.1167,Australia,AU,New South Wales,,2145,1824,https://simplemaps.com/data/au-cities
Esperance,-33.8611,121.8919,Australia,AU,Western Australia,,2144,2080,https://simplemaps.com/data/au-cities
Yarram,-38.55,146.6667,Australia,AU,Victoria,,2135,2135,https://simplemaps.com/data/au-cities
Heddon Greta,-32.8019,151.5133,Australia,AU,New South Wales,,2047,2047,https://simplemaps.com/data/au-cities
Freshwater,-16.8833,145.717,Australia,AU,Queensland,,2023,2023,https://simplemaps.com/data/au-cities
Bangalow,-28.6817,153.5178,Australia,AU,New South Wales,,2021,2021,https://simplemaps.com/data/au-cities
Orbost,-37.7,148.45,Australia,AU,Victoria,,2014,2014,https://simplemaps.com/data/au-cities
Westbury,-41.5167,146.85,Australia,AU,Tasmania,,2006,2006,https://simplemaps.com/data/au-cities
Lyndoch,-34.6037,138.8866,Australia,AU,South Australia,,2000,2000,https://simplemaps.com/data/au-cities
Camden Haven,-31.6483,152.8011,Australia,AU,New South Wales,,1986,1986,https://simplemaps.com/data/au-cities
Wallerawang,-33.4067,150.0678,Australia,AU,New South Wales,,1980,1980,https://simplemaps.com/data/au-cities
