PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI,x_centroid,y_centroid
4.16015e+06,5.31446e+07,locality,BELLBRAE,128,BELLBRAE,VIC,4712,2002-01-14,0,2017-07-20,144.23626656450463,-38.337668938568463
1.33159e+07,5.09899e+07,locality,BOMBALA (NSW),22503,BOMBALA (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.24448753443204,-36.885996724226040
4.16147e+06,5.09899e+07,locality,ULLSWATER,12189,ULLSWATER,VIC,4897,2002-01-14,0,2016-07-06,141.39969737754433,-36.920527566660091
4.16149e+06,5.09899e+07,locality,BETLEY,12176,BETLEY,VIC,4897,2002-01-14,0,2016-07-06,143.79450790764676,-36.917859138626909
4.16149e+06,5.09899e+07,locality,BONNIE DOON,1111,BONNIE DOON,VIC,4897,2002-01-14,0,2016-07-06,145.88104423296352,-37.017198153091066
1.33159e+07,5.09899e+07,locality,MYRTLE MOUNTAIN (NSW),22504,MYRTLE MOUNTAIN (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.68728414014404,-36.851266556380899
4.1615e+06,5.09899e+07,locality,ANCONA,12184,ANCONA,VIC,4897,2002-01-14,0,2016-07-06,145.80937873823811,-36.961935304210662
4.16149e+06,5.09899e+07,locality,MIA MIA,12177,MIA MIA,VIC,4897,2002-01-14,0,2016-07-06,144.60793761970581,-36.990060160999469
4.16149e+06,5.09899e+07,locality,RAVENSWOOD SOUTH,12178,RAVENSWOOD SOUTH,VIC,4897,2002-01-14,0,2016-07-06,144.21117980726780,-36.945826453116737
4.16013e+06,5.31446e+07,locality,COLAC EAST,12624,COLAC EAST,VIC,4897,2002-01-14,0,2017-07-20,143.61733960541520,-38.332893909916884
4.1615e+06,5.09899e+07,locality,MERTON,1399,MERTON,VIC,4897,2002-01-14,0,2016-07-06,145.70969785850338,-36.978033373210515
1.33159e+07,5.09899e+07,locality,CAMBALONG (NSW),22505,CAMBALONG (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.11477192308780,-36.894432012029718
