PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
4.16072e+06,5.09909e+07,locality,ARDEER,72,ARDEER,VIC,4712,2002-01-14,0,2016-07-06
4.16097e+06,5.2884e+07,locality,HEALESVILLE,393,HEALESVILLE,VIC,4712,2002-01-14,0,2017-04-21
4.16094e+06,5.2884e+07,locality,SOMERTON,710,SOMERTON,VIC,4712,2002-01-14,0,2017-04-21
4.16092e+06,5.2884e+07,locality,TARRAWARRA,762,TARRAWARRA,VIC,4712,2002-01-14,0,2017-04-21
4.1609e+06,5.2884e+07,locality,CAMPBELLFIELD,195,CAMPBELLFIELD,VIC,4712,2002-01-14,0,2017-04-21
4.16091e+06,5.2884e+07,locality,MILL PARK,532,MILL PARK,VIC,4712,2002-01-14,0,2017-04-21
4.16089e+06,5.2884e+07,locality,LALOR,469,LALOR,VIC,4712,2002-01-14,0,2017-04-21
4.16089e+06,5.2884e+07,locality,COLDSTREAM,244,COLDSTREAM,VIC,4712,2002-01-14,0,2017-04-21
4.16089e+06,5.2884e+07,locality,YERING,875,YERING,VIC,4712,2002-01-14,0,2017-04-21
4.16088e+06,5.2884e+07,locality,THOMASTOWN,772,THOMASTOWN,VIC,4712,2002-01-14,0,2017-04-21
4.16088e+06,5.2884e+07,locality,BUNDOORA,181,BUNDOORA,VIC,4712,2002-01-14,0,2017-04-21
4.16084e+06,5.2884e+07,locality,FAWKNER,327,FAWKNER,VIC,4712,2002-01-14,0,2017-04-21
4.16083e+06,5.2884e+07,locality,RESERVOIR,662,RESERVOIR,VIC,4712,2002-01-14,0,2017-04-21
4.16083e+06,5.2884e+07,locality,GRUYERE,381,GRUYERE,VIC,4712,2002-01-14,0,2017-04-21
4.16084e+06,5.2884e+07,locality,BRIAR HILL,167,BRIAR HILL,VIC,4712,2002-01-14,0,2017-04-21
4.16082e+06,5.2884e+07,locality,WONGA PARK,852,WONGA PARK,VIC,4712,2002-01-14,0,2017-04-21
4.16079e+06,5.2884e+07,locality,NORTH WARRANDYTE,12836,NORTH WARRANDYTE,VIC,4712,2002-01-14,0,2017-04-21
4.16053e+06,5.09912e+07,locality,MURRUMBEENA,573,MURRUMBEENA,VIC,4712,2002-01-14,0,2016-07-06
4.16167e+06,5.29352e+07,locality,MARNOO WEST,12057,MARNOO WEST,VIC,4897,2002-01-14,0,2017-05-08
4.16051e+06,5.09912e+07,locality,BEENAK,121,BEENAK,VIC,4712,2002-01-14,0,2016-07-06
4.1605e+06,5.09912e+07,locality,CAULFIELD SOUTH,215,CAULFIELD SOUTH,VIC,4712,2002-01-14,0,2016-07-06
9.97196e+06,5.09912e+07,locality,LAKE TYERS BEACH,13210,LAKE TYERS BEACH,VIC,4712,2002-02-25,0,2016-07-06
4.1605e+06,5.09912e+07,locality,GLEN HUNTLY,366,GLEN HUNTLY,VIC,4712,2002-01-14,0,2016-07-06
4.16051e+06,5.09912e+07,locality,OAKLEIGH,607,OAKLEIGH,VIC,4712,2002-01-14,0,2016-07-06
4.16051e+06,5.09912e+07,locality,HUGHESDALE,412,HUGHESDALE,VIC,4712,2002-01-14,0,2016-07-06
4.16162e+06,5.29352e+07,locality,TOTTINGTON,12087,TOTTINGTON,VIC,4897,2002-01-14,0,2017-05-08
4.16052e+06,5.09912e+07,locality,SCORESBY,691,SCORESBY,VIC,4712,2002-01-14,0,2016-07-06
4.16051e+06,5.09912e+07,locality,SHELFORD,701,SHELFORD,VIC,4712,2002-01-14,0,2016-07-06
4.16162e+06,5.29352e+07,locality,ROSTRON,12090,ROSTRON,VIC,4897,2002-01-14,0,2017-05-08
4.16158e+06,5.29352e+07,locality,WALLALOO EAST,12112,WALLALOO EAST,VIC,4897,2002-01-14,0,2017-05-08
9.97196e+06,5.09912e+07,locality,LAKE BUNGA,10169,LAKE BUNGA,VIC,4712,2002-02-25,0,2016-07-06
9.97196e+06,5.09912e+07,locality,KALIMNA,13211,KALIMNA,VIC,4712,2002-02-25,0,2016-07-06
4.16158e+06,5.29352e+07,locality,CALLAWADDA,12117,CALLAWADDA,VIC,4897,2002-01-14,0,2017-05-08
4.16156e+06,5.29352e+07,locality,PARADISE,12125,PARADISE,VIC,4897,2002-01-14,0,2017-05-08
4.16157e+06,5.29352e+07,locality,WINJALLOK,12130,WINJALLOK,VIC,4897,2002-01-14,0,2017-05-08
4.16146e+06,5.29467e+07,locality,GOBUR,12202,GOBUR,VIC,4897,2002-01-14,0,2017-05-09
4.16146e+06,5.29467e+07,locality,SEYMOUR,1536,SEYMOUR,VIC,4897,2002-01-14,0,2017-05-09
4.16144e+06,5.29467e+07,locality,HILLDENE,12213,HILLDENE,VIC,4897,2002-01-14,0,2017-05-09
